name,count,follower count
Python,26669,50711
JavaScript,25114,56173
Ruby,20914,31945
PHP,15513,35048
Rails,14759,20068
iOS,13588,27243
AWS,12516,5852
Android,12001,34256
Java,11492,37049
Swift,11408,6454
Docker,9734,5696
Linux,9718,33872
Node.js,8036,24301
Git,7979,32870
Mac,7345,26417
C#,7050,21256
Unity,7031,4293
Python3,6220,2549
MySQL,5914,27187
C++,5836,23067
Go,5731,3915
CSS,5456,35918
Windows,5396,1190
Xcode,5247,19745
機械学習,5174,5465
Ubuntu,4642,17981
CentOS,4610,18183
HTML,4599,42887
初心者,4394,1714
GitHub,4293,38614
RaspberryPi,4235,3164
Objective-C,3923,16799
Laravel,3884,1904
Vagrant,3819,1587
#migrated,3815,2
jQuery,3664,27605
Bash,3617,1289
Vim,3512,21734
Vue.js,3496,2873
DeepLearning,3349,3394
golang,2961,1961
React,2851,2483
WordPress,2815,1711
Scala,2780,9461
TypeScript,2765,2159
R,2626,1833
MacOSX,2603,22957
HTML5,2558,37877
RubyOnRails,2557,524
C,2529,20116
nginx,2438,13036
Kotlin,2391,2099
Slack,2382,2067
Heroku,2382,9718
TensorFlow,2341,2770
ShellScript,2319,18968
PostgreSQL,2300,1056
centos7,2198,276
lambda,2186,681
Azure,2164,1011
SQL,2152,1275
IoT,2112,1148
Ansible,2081,1463
Apache,2023,18206
MachineLearning,1922,1780
iPhone,1918,34762
Django,1904,1351
Haskell,1881,8698
SSH,1877,16382
Emacs,1868,11224
VirtualBox,1856,474
kubernetes,1854,1323
Windows10,1843,312
Arduino,1813,1236
Excel,1773,885
Firebase,1744,1449
reactjs,1740,1499
新人プログラマ応援,1739,2626
EC2,1729,301
AndroidStudio,1683,722
Chrome,1663,28615
PowerShell,1651,989
GoogleAppsScript,1639,1535
Elixir,1622,1169
Qiita,1622,40113
OpenCV,1620,1298
api,1600,517
ポエム,1545,489
JSON,1535,459
VSCode,1527,1578
homebrew,1504,470
数学,1465,1044
Perl,1449,11232
AngularJS,1422,1537
docker-compose,1413,319
GoogleCloudPlatform,1413,942
Twitter,1407,21860
npm,1392,378
oracle,1386,599
shell,1383,545
OSX,1381,365
Zsh,1344,8416
webpack,1339,719
S3,1329,205
CSS3,1320,25314
ATOM,1319,1749
VisualStudio,1300,941
Jenkins,1292,1084
Markdown,1274,984
Eclipse,1270,1389
RSpec,1262,482
Elasticsearch,1261,1008
spring-boot,1236,615
Keras,1216,919
VBA,1205,824
Rust,1190,1476
gcp,1186,648
Jupyter,1181,748
AdventCalendar,1172,195
pandas,1148,585
MongoDB,1142,10304
aws-cli,1122,135
Gem,1113,115
CakePHP,1113,766
Blockchain,1081,720
Web,1077,258
Selenium,1075,726
Rails4,1069,132
spring,1056,815
Rails5,1030,116
Bluemix,1023,529
VisualStudioCode,1016,1265
gulp,1014,686
CoffeeScript,1014,10847
reactnative,1010,639
numpy,1009,384
アルゴリズム,997,816
GitLab,983,641
chef,967,737
.NET,967,648
どう書く,966,161
Angular,956,917
Bootstrap,947,962
gradle,942,419
matplotlib,940,345
セキュリティ,937,703
自然言語処理,934,1095
Unity3D,925,667
Ethereum,914,449
redux,908,638
IntelliJ,902,658
Redmine,878,755
es6,877,479
cppBuilder,847,20
Linuxコマンド,841,170
Xamarin,838,813
メモ,836,29
プログラミング,834,354
正規表現,834,20819
Electron,829,1496
google,829,398
Network,825,420
Sass,821,762
オブジェクト指向,815,665
macos,795,146
java8,794,300
TechEnglish,793,106
nuxt.js,790,530
Chainer,789,1069
Salesforce,789,400
データ分析,775,692
SSL,765,147
swift4,761,126
Redis,760,554
備忘録,752,42
ubuntu16.04,746,41
Terminal,743,353
gas,738,419
電子工作,733,504
環境構築,729,138
画像処理,726,493
Express,724,403
Debian,723,263
CircleCI,719,336
Fluentd,711,625
vmware,705,321
Anaconda,700,216
入門,698,149
cocos2d-x,697,535
UI,697,659
test,690,146
PHP7,687,127
競技プログラミング,687,428
raspbian,681,168
zabbix,669,484
WPF,669,457
tips,663,69
node-red,661,325
デザインパターン,661,614
スクレイピング,659,482
Raspberrypi3,655,238
勉強会,653,230
AI,650,443
テスト,650,300
WebGL,648,488
Facebook,646,14230
SQLServer,645,351
Security,644,374
UNIX,642,346
ゲーム制作,641,277
yhpg,640,20
linebot,638,395
HTTP,638,115
CSV,627,59
Bitcoin,626,429
Flask,621,404
memo,616,9
Clojure,610,544
Hubot,609,521
rbenv,607,49
babel,603,256
python2.7,601,68
tmux,601,565
LaTeX,601,352
PlayFramework,600,347
cakephp3,595,219
BigQuery,590,329
APIGateway,589,171
Alexa,585,459
scikit-learn,585,463
Spark,585,486
ROS,582,352
深層学習,580,752
Swift3.0,578,233
Flutter,575,499
GoogleHome,573,678
Dart,569,347
ActiveRecord,569,64
serverless,568,313
laravel5,564,151
VR,563,391
統計学,561,704
SoftLayer,556,113
FuelPHP,554,392
GAE,549,336
firefox,548,249
Line,547,331
android開発,539,92
Maven,539,189
初心者向け,538,111
Groovy,532,264
Julia,529,585
mecab,524,228
ディープラーニング,523,687
cloud9,522,200
ESP8266,520,310
UE4,520,534
curl,518,84
bot,516,213
mariadb,511,173
C言語,509,301
Erlang,509,439
coding,508,34
Cordova,508,381
DynamoDB,507,159
AtCoder,507,196
Database,505,122
ibmcloud,504,58
Angular2,499,560
Terraform,499,368
C++11,498,197
Watson,497,329
GoogleSpreadSheet,497,238
Composer,497,104
PHPUnit,497,198
nodejs,496,400
SublimeText,495,473
Phoenix,494,372
CocoaPods,494,164
DB,492,138
FPGA,491,397
CI,486,199
PhpStorm,486,392
kintone,484,229
TeX,484,368
chrome-extension,483,248
WSL,481,190
Ajax,475,204
windows7,473,26
GoogleAnalytics,473,358
borgWarp,471,1
archLinux,471,333
WebAPI,470,238
TwitterAPI,468,104
Pepper,465,660
openssl,465,87
devise,465,39
js,462,140
ifttt,454,361
processing,454,600
フロントエンド,453,347
ImageMagick,451,134
letsencrypt,448,150
開発環境,448,246
DDD,446,458
RDS,445,99
dns,441,100
